黄昏	twilight	黄昏
科学	science	科学
算法	algorithm	アルゴリズム
社会契约	social contract	社会契約
物理学	physics	物理学
早餐	breakfast	朝食
回声	echo	こだま
化学	chemistry	化学
权力	power	権力
画布	canvas	キャンバス
生物学	biology	生物学
缓存	cache	キャッシュ
自由意志	free will	自由意志
天文学	astronomy	天文学
公交卡	transit card	交通カード
月光	moonlight	月光
地质学	geology	地質学
制度	institution	制度
像素	pixel	ピクセル
生态系统	ecosystem	生態系
花园	garden	庭
蒙太奇	montage	モンタージュ
原子	atom	原子
主体	subject	主体
选票	ballot	投票用紙
分子	molecule	分子
雨伞	umbrella	傘
黑洞	black hole	ブラックホール
细胞	cell	細胞
身份	identity	アイデンティティ
旋律	melody	旋律
数学	mathematics	数学
预算	budget	予算
镜子	mirror	鏡
几何	geometry	幾何学
记忆	memory	記憶
终端	terminal	端末
代数	algebra	代数学
阶级	class	階級
舞台	stage	舞台
微积分	calculus	微積分
钥匙串	key ring	鍵束
秩序	order	秩序
拓扑	topology	位相
幽灵	ghost	幽霊
政策	policy	政策
概率	probability	確率
沙发	sofa	ソファ
虚无	nothingness	虚無
集合	set	集合
光标	cursor	カーソル
公民	citizen	市民
矩阵	matrix	行列
雕塑	sculpture	彫刻
因果律	causality	因果律
函数	function	関数
饭团	rice ball	おにぎり
边界	boundary	境界
定理	theorem	定理
噪声	noise	雑音
民主	democracy	民主主義
生命	life	生命
档案	archive	記録簿
岛屿	island	島
基因	gene	遺伝子
叙述者	narrator	語り手
意识形态	ideology	イデオロギー
染色体	chromosome	染色体
芯片	chip	チップ
窗台	windowsill	窓辺
神经元	neuron	ニューロン
少数派	minority	少数派
节拍	beat	拍子
器官	organ	器官
本体	being-in-itself	本体
免疫	immunity	免疫
程序	program	プログラム
联盟	alliance	同盟
物种	species	種
胶片	film	フィルム
日历	calendar	カレンダー
进化	evolution	進化
治理	governance	統治
梦境	dream	夢
代谢	metabolism	代謝
脚步	footstep	足音
接口	interface	インターフェース
胚胎	embryo	胚
传统	tradition	伝統
观众	audience	観客
心理	psyche	心理
语言	language	言語
城市	city	都市
潜意识	subconscious	潜在意識
齿轮	gear	歯車
提案	proposal	提案
人格	personality	人格
笔记	note	ノート
社会	society	社会
认知	cognition	認知
空间	space	空間
演员	actor	役者
焦虑	anxiety	不安
引擎	engine	エンジン
程序正义	procedural justice	手続き的正義
依恋	attachment	愛着
走廊	corridor	廊下
变量	variable	変数
创伤	trauma	傷
共同体	community of belonging	共同体
剧场	theatre	劇場
动机	motivation	動機
时间	time	時間
地图	map	地図
自我	ego	自我
媒体	media	メディア
心跳	heartbeat	鼓動
本我	id	イド
艺术史	art history	美術史
市场	market	市場
法律	law	法律
键盘	keyboard	キーボード
现象	phenomenon	現象
宪法	constitution	憲法
议会	parliament	議会
法庭	courtroom	法廷
墨水	ink	インク
身份政治	identity politics	アイデンティティ政治
证据	evidence	証拠
星球	planet	惑星
钟表	timepiece	時計
判例	precedent	判例
客体	object	客体
资源	resource	資源
契约	contract	契約
光线	light ray	光線
民意	public opinion	民意
法官	judge	裁判官
书页	page	本のページ
宇宙	universe	宇宙
陪审团	jury	陪審
货币	currency	通貨
频率	frequency	周波数
诉讼	lawsuit	訴訟
历史	history	歴史
菜单	menu	メニュー
司法	judiciary	司法
哲学	philosophy	哲学
社区	neighbourhood	地域社会
金融	finance	金融
海岸	coast	海岸
电路	circuit	回路
资本	capital	資本
多数派	majority	多数派
标点	punctuation	句読点
股票	stock	株式
革命	revolution	革命
房间	room	部屋
债券	bond	債券
话语	discourse	言説
磁盘	disk	ディスク
利率	interest rate	金利
国家	state	国家
陌生人	stranger	見知らぬ人
通货膨胀	inflation	インフレ
协议	protocol	協定
制度惯性	institutional inertia	制度の慣性
银行	bank	銀行
呼吸	breath	呼吸
文件	document	書類
债务	debt	債務
国际秩序	international order	国際秩序
纸箱	cardboard box	段ボール箱
利润	profit	利益
公共领域	public sphere	公共圏
风险	risk	リスク
影子	shadow	影
博物馆	museum	博物館
工厂	factory	工場
真理	truth	真理
机器人	robot	ロボット
机床	machine tool	工作機械
声音	sound	音
权利	right	権利
流水线	assembly line	組み立てライン
屏幕	screen	画面
荒原	wasteland	荒野
乡土	homeland	郷土
公民社会	civil society	市民社会
意识	consciousness	意識
村庄	village	村
剧本	script	脚本
网络	network	ネットワーク
神话	myth	神話
代际公平	intergenerational equity	世代間の公平
窗户	window	窓
宗教	religion	宗教
指令	instruction	命令
政策窗口	policy window	政策の窓
神祇	deity	神
作者	author	作者
欲望	desire	欲望
历史学	historiography	歴史学
社会性别	gender	ジェンダー
坐标	coordinate	座標
考古学	archaeology	考古学
展厅	exhibition hall	展示室
历史叙事	historical narrative	歴史叙述
军队	army	軍隊
按钮	button	ボタン
认识论	epistemology	認識論
战争	war	戦争
群众	crowd	群衆
乌托邦	utopia	ユートピア
摄影	photography	写真
新闻	news	ニュース
方法论	methodology	方法論
音乐	music	音楽
地铁	subway	地下鉄
存在	existence	存在
超现实主义	surrealism	シュルレアリスム
议程	agenda	議題
情绪	emotion	感情
色块	colour field	色面
世界观	worldview	世界観
