折叠	fold	折りたたむ
假设	suppose	仮定する
凝视	gaze at	見つめる
测序	sequence	配列解析する
协商	consult on	協議する
渲染	render	描画する
推导	derive	導き出す
质询	interrogate	問いただす
繁殖	propagate	繁殖させる
追问	probe	問い続ける
拼贴	collage	コラージュする
进化	evolve	進化させる
重构	reconstruct	再構成する
倾听	listen to	聞き取る
代谢	metabolise	代謝する
解码	decode	解読する
涂抹	smear	塗りつぶす
感知	sense	感じ取る
悬置	suspend	宙づりにする
打捞	salvage	引き揚げる
诊断	diagnose	診断する
改革	reform	改革する
反思	reflect on	省察する
治愈	heal	癒やす
剪辑	edit	編集する
点燃	ignite	燃え上がらせる
遗传	inherit	遺伝させる
校准	calibrate	較正する
漂浮	float	漂わせる
突变	mutate	突然変異させる
监督	supervise	監督する
描摹	trace	描き写す
适应	adapt to	順応させる
放逐	exile	追放する
保存	preserve	保存する
铭记	remember forever	刻み込む
拆解	dismantle	解体する
论证	substantiate	論証する
遗忘	forget	忘れる
擦除	erase	消去する
投票	vote on	投票にかける
做梦	dream of	夢に見る
编织	weave	織り上げる
召回	recall	呼び戻す
压抑	repress	抑圧する
怀疑	doubt	疑う
迁移	migrate	移行させる
认同	identify with	受け入れる
搅拌	stir	かき混ぜる
驯服	tame	飼いならす
授权	authorise	権限を与える
裁决	adjudicate	裁定する
朗诵	recite	朗読する
压缩	compress	圧縮する
起诉	prosecute	起訴する
等待	wait for	待つ
证伪	falsify	反証する
辩诉	plead for	弁論する
分配	allocate	配分する
唤醒	awaken	目覚めさせる
立法	legislate	立法化する
装裱	frame	額装する
标记	mark	印をつける
执法	enforce	執行する
谈判	negotiate	交渉する
过滤	filter	ろ過する
仲裁	arbitrate	仲裁する
埋葬	bury	埋葬する
模拟	simulate	模擬する
审判	judge	裁く
策展	curate	キュレーションする
妥协	compromise on	妥協させる
举证	evidence	立証する
丈量	measure	測る
改编	adapt	翻案する
签约	contract	契約に結ぶ
刷新	refresh	更新する
穿越	cross	通り抜ける
融资	finance	資金調達する
命名	name	名づける
动员	mobilise	動員する
投资	invest in	投資の対象にする
雕刻	carve	彫る
归档	archive	記録庫に収める
借贷	lend	貸し出す
抚平	smooth	なだめる
回应	respond to	応答の対象にする
储蓄	save	蓄える
拓印	take a rubbing of	拓本にする
冻结	freeze	凍結する
结算	settle	決済する
观察	observe	観察する
复制	copy	複製する
估值	value	価値評価する
组合	combine	組み合わせる
问责	hold accountable	責任追及する
交易	trade	取引する
推演	extrapolate	推演する
收割	harvest	刈り取る
焊接	weld	溶接する
放大	magnify	拡大する
治理	govern	統治する
锻造	forge	鍛える
拆封	unseal	開封する
烧灼	scorch	焼きつける
切削	cut	削る
投射	project	投影する
擦亮	brighten	磨き上げる
组装	assemble	組み立てる
重演	reenact	再演する
组织	organise	組織する
耕作	cultivate	耕す
孵化	incubate	孵化させる
旋转	rotate	回転させる
灌溉	irrigate	灌漑する
修订	revise	改訂する
记录	record	記録する
放牧	herd	放牧する
挑战	challenge	挑戦の対象にする
临摹	imitate	模写する
酿造	brew	醸す
敲击	tap	叩く
颠覆	subvert	覆す
祭祀	ritually honour	祀る
维护	maintain	維持する
漂洗	rinse	すすぐ
祈祷	pray for	祈りの対象にする
删除	delete	削除する
收藏	collect	収集する
朝圣	make a pilgrimage to	巡礼する
照亮	illuminate	照らす
聚合	aggregate	集約する
占卜	divine	占う
排练	rehearse	稽古する
展开	unfold	展開する
考证	verify historically	考証する
缝合	stitch	縫い合わせる
解构	deconstruct	脱構築する
发掘	excavate	発掘する
保护	protect	守る
加速	accelerate	加速する
编年	chronicle	編年体にする
分散	disperse	分散させる
重启	restart	再起動する
征服	conquer	征服する
拒绝	reject	拒む
播种	sow	種としてまく
防御	defend	防衛する
划分	partition	区分する
邀请	invite	招く
撤退	withdraw	撤退させる
承认	acknowledge	認める
发表	publish	発表する
包围	surround	取り囲む
改写	rewrite	書き換える
连接	connect	つなぐ
侦察	scout	偵察する
隐藏	hide	隠す
显现	manifest	出現させる
曝光	expose	露光する
触碰	touch	触る
抽取	extract	抽出する
对焦	focus on	焦点にする
塑造	shape	形づくる
演绎	interpret	演繹する
显影	develop	現像する
质疑	question	疑問に付す
辩护	argue for	弁護する
录音	make a recording of	録音する
制定	formulate	策定する
执行	execute	実行する
演奏	play	演奏する
审议	deliberate on	審議する
表决	put to a vote	採決する
歌唱	sing	歌う
罢免	dismiss	罷免する
联合	unite	連合させる
共鸣	resonate with	共鳴させる
抵抗	resist	抵抗の対象にする
争取	strive for	勝ち取る
安慰	comfort	慰める
揭示	reveal	明らかにする
定义	define	定義する
怀念	miss	懐かしむ
否定	negate	否定する
肯定	affirm	肯定する
衰老	age	老いさせる
扬弃	sublate	止揚する
超越	transcend	超える
生长	grow	育てる
生成	generate	生成する
暂停	pause	一時停止する
消逝	let fade	消えゆくままにする
读取	read	読み取る
锁定	lock	固定する
回忆	recollect	思い出す
解锁	unlock	解錠する
编译	compile	コンパイルする
变形	deform	変形させる
翻译	translate	翻訳する
梦游	sleepwalk through	夢遊する
映照	reflect	映す
吹散	blow away	吹き散らす
幻化	transfigure	幻へと変える
熔化	melt	溶かす
铸造	cast	鋳造する
异化	alienate	異化する
抛光	polish	研磨する
染色	dye	染める
社会化	socialise	社会化する
预测	predict	予測する
回溯	trace back	遡る
整合	integrate	統合する
携带	carry	携える
丢弃	discard	捨てる
制造	manufacture	製造する
安放	place	据える
移动	move	移動させる
探索	explore	探索する
漫游	wander through	さまよう
告别	bid farewell to	別れの言葉を送る
绕行	detour around	迂回する
计算	calculate	計算する
求解	solve	解く
验证	validate	検証する
