%@视图	%@ view	%@表示
%@，当前日期	%@, today	%@、今日
%ld–%ld年	%ld–%ld	%ld–%ld年
%ld天	%ld days	%ld日
%ld岁	%ld years	%ld歳
%ld年	%ld	%ld年
%ld年%@	%2$@ %1$ld	%ld年%@
%ld年%ld月%ld日	%ld-%02ld-%02ld	%ld年%ld月%ld日
%ld日	%ld	%ld日
%ld日 · %@	%ld · %@	%ld日 · %@
0.5秒	0.5 seconds	0.5秒
10秒	10 seconds	10秒
1分钟	1 minute	1分
1秒	1 second	1秒
25小时时钟	25-Hour Clock	25時間時計
30秒	30 seconds	30秒
5分钟	5 minutes	5分
5秒	5 seconds	5秒
kurio最新力作（2）	Kurio’s latest work (2)	Kurioの最新作（2）
yyyy年M月d日HH时mm分ss秒	yyyy-MM-dd HH:mm:ss	yyyy年M月d日 HH:mm:ss
上一个功能	Previous work	前の作品
上一页	Previous page	前のページ
上锁后，苗圃将按真实时间生长，30天后将会长成完整的形态。	Once locked, the nursery grows in real time, reaching its full form after 30 days.	鍵をかけると、苗圃は現実の時間に沿って育ち、30日後に完全な姿になります。
下一个功能	Next work	次の作品
下一页	Next page	次のページ
与那个人再见一定的次数	See that person a certain number of times	あの人と、あと何度か会う
东京	Tokyo	東京
为什么想要进去	Why would you like to enter?	なぜ入りたいのですか
也许你已经按过了	Perhaps you already have.	もしかすると、もう押したのかもしれません
于%@按下	Pressed on %@	%@に押されました
享受%ld个夏天	Enjoy %ld summers	夏を%ld回楽しむ
享受接下来额外的人生吧	Enjoy the extra life ahead.	これからの余分な人生を楽しんでください
从2000年1月1日00:00 UTC开始计时。一分钟仍是60秒，一小时仍是60分钟，一天是25小时。每周7天，每年12个月，月长与闰年遵循公历。	Time begins at 00:00 UTC on 1 January 2000. A minute still has 60 seconds, an hour still has 60 minutes, and a day has 25 hours. Weeks have 7 days and years have 12 months; month lengths and leap years follow the Gregorian calendar.	2000年1月1日00:00 UTCを起点に時を刻みます。1分は60秒、1時間は60分のまま、1日は25時間。1週間は7日、1年は12か月で、各月の日数とうるう年はグレゴリオ暦に従います。
休眠	Dormancy	休眠
伦敦	London	ロンドン
你决定记录下这一刻	You decided to record this moment.	あなたは、この瞬間を記録しようと決めた
你的名字	Your name	あなたの名前
倒计时%ld	Countdown: %ld	カウントダウン、%ld
全部组合已生成完毕	Every combination has appeared.	すべての組み合わせが表示されました
关于活着的其他一些想法	Some other thoughts on being alive.	生きていることについての、ほかのいくつかの考え
其他时区	Other time zones	ほかのタイムゾーン
切换到%@	Switch to %@	%@へ移動
切换到主页	Back to the work	作品に戻る
切换间隔	Interval	切り替え間隔
北京 / 上海	Beijing / Shanghai	北京 / 上海
协调世界时	Coordinated Universal Time	協定世界時
印度	India	インド
原始动机生成器	Original Motivation Generator	原始動機生成器
只能按一次	Only Once	一度だけ
吃%ld顿早餐	Eat %ld breakfasts	朝食を%ld回食べる
吸气时按住屏幕，呼气时松开。	Hold the screen as you inhale. Release as you exhale.	息を吸うときは画面を押し、吐くときは離してください。
呼吸	Breath	呼吸
呼吸线条暂时无法保存，请稍后再试。	Your breathing traces could not be saved. Please try again later.	呼吸の線を保存できませんでした。しばらくしてからお試しください。
呼吸，已留下%ld条线	Breath, %ld traces left	呼吸、%ld本の線が残っています
回%ld次老家	Visit your hometown %ld times	故郷に%ld回帰る
在这段时间你还可以：	In that time, you could still:	その間に、あなたはまだ：
墨尔本	Melbourne	メルボルン
如上，请你不要打扰它们生长	As above, please let them grow undisturbed.	ご覧のとおり、どうか彼らの成長を邪魔しないでください
完成	Done	完了
岁	years old	歳
已展开	Expanded	展開済み
已收起	Collapsed	折りたたみ済み
已经生长%ld天%ld小时%ld分	Grown for %ldd %ldh %ldm	成長時間：%ld日%ld時間%ld分
巴黎	Paris	パリ
年	Year	年
年龄	Age	年齢
度过%ld个周末	Spend %ld weekends	週末を%ld回過ごす
