荒诞	absurd	不条理な
科学	scientific	科学的な
温柔	tender	優しい
透明	transparent	透明な
实验性	experimental	実験的な
锋利	sharp	鋭い
朦胧	hazy	おぼろげな
理论性	theoretical	理論的な
宏大	grand	壮大な
琐碎	trivial	些細な
可观测	observable	観測可能な
孤独	lonely	孤独な
公开	openly declared	公表された
可计算	computable	計算可能な
隐秘	secret	秘密の
古老	ancient	古い
可测量	measurable	測定可能な
崭新	brand-new	真新しい
轻盈	weightless	軽やかな
守恒	conserved	保存される
沉重	heavy	重い
潮湿	damp	湿った
量子化	quantised	量子化された
干燥	dry	乾いた
滚烫	scorching	焼けつくような
冰冷	icy	氷のように冷たい
相对论式	relativistic	相対論的な
柔软	soft	柔らかい
坚硬	hard	硬い
统计性	statistical	統計的な
明亮	bright	明るい
昏暗	dim	薄暗い
有理	rational-valued	有理的な
喧闹	noisy	騒がしい
安静	quiet	静かな
无理	irrational-valued	無理的な
缓慢	slow	ゆっくりとした
迅疾	swift	素早い
对称	symmetrical	対称的な
精确	precise	正確な
模糊	blurred	曖昧な
非对称	asymmetrical	非対称な
复杂	complex	複雑な
简单	simple	単純な
线性	linear	線形の
浪漫	romantic	ロマンチックな
理性	rational	理性的な
非线性	nonlinear	非線形の
感性	sensuous	感性的な
机械化	mechanised	機械化された
可微	differentiable	微分可能な
手工化	handmade	手作りの
数字化	digitised	デジタル化された
收敛	convergent	収束する
模拟化	analogue	アナログ化された
像素化	pixelated	ピクセル化された
发散	divergent	発散する
流动	flowing	流れる
静止	still	静止した
完备	complete	完備した
悬浮	suspended	浮遊する
下沉	sinking	沈む
活体	living	生体の
膨胀	expanding	膨張する
收缩	contracting	収縮する
生物性	biological	生物的な
重复	repeated	繰り返される
唯一	unique	唯一の
遗传性	hereditary	遺伝的な
多余	superfluous	余分な
必要	necessary	必要な
适应性	adaptive	適応的な
过时	obsolete	時代遅れの
未来感	futuristic	未来的な
共生	symbiotic	共生する
现实感	realistic	現実的な
梦幻	dreamlike	夢のような
寄生	parasitic	寄生する
斑驳	mottled	まだらな
纯粹	pure	純粋な
免疫性	immune	免疫性の
精致	delicate	精緻な
粗糙	rough	粗い
神经性	neural	神経性の
克制	restrained	控えめな
张扬	ostentatious	華美な
细胞性	cellular	細胞性の
谨慎	cautious	慎重な
大胆	bold	大胆な
有生命	alive	命のある
迟到	late	遅れてきた
提前	early	先回りした
焦虑	anxious	不安な
无声	silent	無音の
有形	tangible	形のある
冲动	impulsive	衝動的な
无形	intangible	形のない
有限	finite	有限の
冷漠	indifferent	無関心な
无限	infinite	無限の
连续	continuous	連続した
内向	introverted	内向的な
离散	discrete	離散的な
稳定	stable	安定した
外向	extroverted	外向的な
摇摆	wavering	揺れる
封闭	closed	閉ざされた
依恋	attached	愛着を抱く
开放	open	開かれた
随机	random	ランダムな
偏执	obsessive	偏執的な
确定	determinate	確定した
可逆	reversible	可逆的な
司法性	judicial	司法的な
不可逆	irreversible	不可逆的な
有机	organic	有機的な
法定	statutory	法定の
合成	synthetic	合成された
天然	natural	天然の
合宪	constitutional	合憲の
人造	artificial	人工の
平凡	ordinary	平凡な
违宪	unconstitutional	違憲の
奇异	strange	奇妙な
天真	naive	無邪気な
有效	valid	有効な
成熟	mature	成熟した
顽固	stubborn	頑固な
无效	invalid	無効な
敏感	sensitive	敏感な
迟钝	insensitive	鈍感な
有罪	guilty	有罪の
幽默	humorous	ユーモラスな
严肃	serious	厳粛な
无罪	innocent	無罪の
含蓄	understated	含みのある
坦率	frank	率直な
强制性	compulsory	強制的な
发光	glowing	光る
褪色	faded	色あせた
自愿	voluntary	自発的な
柔和	gentle	穏やかな
刺眼	dazzling	まぶしい
盈利	profitable	利益を生む
低频	low-frequency	低周波の
高频	high-frequency	高周波の
亏损	loss-making	赤字の
无边	boundless	果てしない
